player_id,season,week,rush_attempt,rec_attempt,pass_attempt,rec_air_yards,lag_yards_per_rush_attempt,lag_yards_per_target,lag_yards_per_pass_attempt,lag_yards_per_rush_attempt_shrunk,lag_yards_per_target_shrunk,lag_yards_per_pass_attempt_shrunk,lag_avg_depth_of_target_shrunk,lag_rec_air_yards
00-0040162,2025,3.0,1.0,0.0,0.0,0.0,1.5,4.333333333333333,0.0,3.8006765187332805,7.6354615884400205,7.0964572513420325,5.698646472384676,7.0
00-0040162,2025,4.0,1.0,1.0,0.0,-1.0,2.0,0.0,0.0,4.1518150645859695,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040162,2025,5.0,1.0,2.0,0.0,-4.0,-2.0,0.0,0.0,3.962062487573585,7.646759713698131,7.0964572513420325,6.352076550508297,-1.0
00-0040162,2025,6.0,3.0,2.0,0.0,0.0,-4.0,3.0,0.0,3.8671861990673926,7.638607437887744,7.0964572513420325,4.843474733874492,-4.0
00-0040162,2025,7.0,3.0,1.0,0.0,-5.0,4.0,6.0,0.0,4.225314362619669,7.668310408184774,7.0964572513420325,5.488722581659404,0.0
00-0040162,2025,8.0,3.0,6.0,0.0,1.0,2.6666666666666665,9.0,0.0,4.052004757685878,7.691535833101116,7.0964572513420325,5.582722728219083,-5.0
00-0040162,2025,10.0,2.0,1.0,0.0,1.0,0.0,4.833333333333333,0.0,3.705385547818294,7.601935448802545,7.0964572513420325,3.4341540402028707,1.0
00-0040162,2025,11.0,1.0,1.0,0.0,5.0,-2.0,3.0,0.0,3.692042551901711,7.66168508683246,7.0964572513420325,6.736753461652905,1.0
00-0040162,2025,12.0,7.0,3.0,0.0,-18.0,19.0,0.0,0.0,4.958263516888603,7.646759713698131,7.0964572513420325,7.506107283942119,5.0
00-0040162,2025,13.0,4.0,0.0,0.0,0.0,3.2857142857142856,19.666666666666668,0.0,4.007395623811432,7.862062573661696,7.0964572513420325,2.226023111218929,-18.0
00-0040162,2025,14.0,2.0,6.0,0.0,-3.0,5.75,0.0,0.0,4.506654163044959,7.6849935122666215,7.0964572513420325,8.102917677872023,0.0
00-0040162,2025,17.0,11.0,3.0,0.0,-13.0,2.0,10.666666666666666,0.0,4.054360036811891,7.771838361423904,7.0964572513420325,3.041965198470821,-3.0
00-0040162,2025,18.0,10.0,3.0,0.0,-7.0,2.4545454545454546,0.0,0.0,3.6203444488221592,7.571422179573026,7.0964572513420325,2.9205477834520783,-13.0
00-0040164,2025,1.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040164,2025,2.0,0.0,4.0,0.0,16.0,0.0,5.5,0.0,4.258976728496787,7.6633599131352685,7.0964572513420325,8.714961820583962,20.0
00-0040164,2025,3.0,0.0,2.0,0.0,15.0,0.0,0.5,0.0,4.258976728496787,7.5441112865359035,7.0964572513420325,6.101291400392974,16.0
00-0040164,2025,4.0,0.0,3.0,0.0,56.0,0.0,-1.0,0.0,4.258976728496787,7.599003477491705,7.0964572513420325,7.908402010852823,15.0
00-0040164,2025,5.0,0.0,2.0,0.0,30.0,0.0,6.0,0.0,4.258976728496787,7.660092130311942,7.0964572513420325,12.504988260269542,56.0
00-0040164,2025,6.0,1.0,2.0,0.0,31.0,0.0,8.0,0.0,4.258976728496787,7.688112388382794,7.0964572513420325,10.328081440046242,30.0
00-0040164,2025,7.0,0.0,6.0,0.0,105.0,7.0,18.5,0.0,4.38900578585145,7.792072784422397,7.0964572513420325,10.48939340199247,31.0
